condition,checkpoint,seed,episode,episode_seed,n_steps,external_sha256,phi_r_g,group_decoupling_g,group_downward_g,group_part_driven_g,phi_r_atom_median_sum_g,phi_r_minus_atom_median_sum_g,g_partition_n1,g_partition_n2,g_partition_signature,atom_base_part0_to_whole_g,atom_parts_to_whole_g,atom_part1_to_whole_g,atom_whole_to_part0_g,atom_whole_to_parts_g,atom_whole_to_part1_g,atom_whole_to_whole_g,atom_part0_to_part1_g,atom_part1_to_part0_g,phi_r_z,z_partition_n1,z_partition_n2,z_partition_signature
default,36000,12,2,511136,800,a4040649f24d949a9daac8111c269e4d1a5257c969fae12fa7c69d0df9dbb2a3,1.7860671122440834,-0.8714194499739887,2.6474773989296665,0.16075839948782766,1.936816348443506,-0.1507492361994225,2,10,"A[4,6]|B[0,1,2,3,5,7,8,9,10,11]",1.7039280386126223,0.85937555923898,0.9160992015842895,0.919287792362387,0.03296176413293894,1.6952278424343403,-0.8714194499739887,-2.3940399808468493,-0.924604419101215,0.056715877492698547,1,15,"A[7]|B[0,1,2,3,4,5,6,8,9,10,11,12,13,14,15]"
default,36000,12,3,269786,800,f554c10b3a6ea3aad3da67bdd8822e211e5b121bc19cccf58079def91c367dd6,1.8989545122641422,-1.2755254321356482,3.2208985233708938,0.0678058174240066,2.013178908659252,-0.11422439639510995,7,5,"A[1,2,5,7,9,10,11]|B[0,3,4,6,8]",1.4143611805071048,0.34777615740097234,1.6939195078394071,1.651214391755626,0.18914558958341043,1.3805385420318574,-1.2755254321356482,-1.447775088306806,-1.9404759400166718,0.11457325304544166,3,13,"A[1,3,15]|B[0,2,4,5,6,7,8,9,10,11,12,13,14]"
default,36000,12,4,307829,800,efeb704908aab4b37f9eb437d7027df36470cc446a4008dae4aeb97dab9705a9,2.0473138813576686,-1.3714303143374913,3.3513418047044694,0.2127164355874891,2.192627925954467,-0.14531404459679864,7,5,"A[1,2,5,7,9,10,11]|B[0,3,4,6,8]",1.4503248851438864,0.4780269585136603,1.7678066064973814,1.6703550181226516,0.24281792442989047,1.4381688621519273,-1.3714303143374913,-1.4815634774406132,-2.0018785371268257,0.10130897764085081,1,15,"A[14]|B[0,1,2,3,4,5,6,7,8,9,10,11,12,13,15]"
default,36000,12,5,40973,800,e026480bfdede18b0cad8aa9a8396507da1a7d4e1d8f8b035f580d6cf1dfb08c,1.8088121870905898,-1.2863675617283756,3.022661686623786,0.11649717465892917,1.8527912995543387,-0.04397911246374897,7,5,"A[1,2,5,7,9,10,11]|B[0,3,4,6,8]",1.3201021800700818,0.4303758020657589,1.4807033497812403,1.5983574481008538,0.18274154062183845,1.2415626979010939,-1.2863675617283756,-1.3328877418070597,-1.781796415451092,0.07944985459704265,1,15,"A[10]|B[0,1,2,3,4,5,6,7,8,9,11,12,13,14,15]"
default,36000,12,6,75240,800,aa52b477675f028f7f05585d6e76d7c1e052216fc5ff0c12d5b19191dbb9f848,2.28067440924442,1.06945512765596,1.0602298320710128,0.14665640392880053,2.2763413636557734,0.004333045588646556,3,9,"A[3,4,11]|B[0,1,2,5,6,7,8,9,10]",0.6297388587049233,0.5003952930571474,0.29640691662495877,0.28542938061667456,0.0072949162836224435,0.7675055351707158,1.06945512765596,-1.0386966824187365,-0.24118798203949243,0.011228258364607946,15,1,"A[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]|B[0]"
default,36000,12,7,16527,800,0193a206e04983fbfc2b0b7090a2206526ec6d42519b69d1a4291436c936eec5,1.925794431572864,-1.2036510990811067,3.1885732221042566,0.0755825908505261,2.0605047138736774,-0.1347102823008135,7,5,"A[1,2,5,7,9,10,11]|B[0,3,4,6,8]",1.3336176800234216,0.5122115431569612,1.513365838424122,1.729108125951444,0.17911484629466434,1.2803502498581483,-1.2036510990811067,-1.3645892092925105,-1.9190232614614682,0.1656015427208263,1,15,"A[7]|B[0,1,2,3,4,5,6,8,9,10,11,12,13,14,15]"
default,36000,12,8,175267,800,61d4cf29a73d0fbebcfd1d461184e2ae14c4900d005b36c4d18f6b61215564be,1.6439482606621745,-0.5444751672103614,2.1045483336417554,0.06897385664566924,1.6290470230770633,0.014901237585111193,7,5,"A[1,2,5,7,9,10,11]|B[0,3,4,6,8]",0.926654752167035,0.3325735550109923,1.093533344224877,1.154736923427016,0.03392965823685623,0.915881751977883,-0.5444751672103614,-0.9257806022181914,-1.3580071925390436,0.07299474490671232,1,15,"A[12]|B[0,1,2,3,4,5,6,7,8,9,10,11,13,14,15]"
default,36000,12,9,813270,800,794bd6f53d04e380a07ad3b23a7b78a7204d02f669ee999f3c58aefed46e047b,2.1550347737298785,1.5437942470575192,0.5162442573508006,0.03529547142895839,2.0953339758372787,0.059700797892599855,3,9,"A[3,4,11]|B[0,1,2,5,6,7,8,9,10]",0.18783606236455652,0.5231230284468986,0.0,0.0,0.005231911233350317,0.5110123461174503,1.5437942470575192,-0.6756636193824967,0.0,0.05096640042652256,2,14,"A[5,8]|B[0,1,2,3,4,6,7,9,10,11,12,13,14,15]"
default,36000,13,0,850624,800,2bdde52c6bb6e994a3f0d7c441ff03c743b87486b9efafb8c87e3d9aefd1bf30,2.4246368423627698,-1.2570034410644801,3.6766887907495107,0.08095333211432232,2.5006386817993533,-0.07600183943658356,6,6,"A[2,4,7,8,10,11]|B[0,1,3,5,6,9]",1.554517756337384,0.5197399369144686,1.7443710007296147,2.0071047169291263,0.13610556584871292,1.5334785079716717,-1.2570034410644801,-1.5565525508086249,-2.18112281105852,0.06703055423504406,1,15,"A[8]|B[0,1,2,3,4,5,6,7,9,10,11,12,13,14,15]"
default,36000,13,1,636961,800,010aa30e51836eeb1d0b2f3c13fdad4d158ec9cd81af62b9fe181df4c7aef7c4,2.184691763495078,-0.4519980340334291,2.4333610289515715,0.07671208492502934,2.0580750798431717,0.12661668365190648,10,2,"A[1,2,3,4,6,7,8,9,10,11]|B[0,5]",0.8245442036346571,1.2002020652647811,0.6563317093832985,1.6424871733627018,0.19150034902806534,0.5993735065608043,-0.4519980340334291,-0.8262723737234015,-1.778093519634306,0.27250664618939674,4,12,"A[2,3,5,15]|B[0,1,4,6,7,8,9,10,11,12,13,14]"
