condition,checkpoint,seed,phi_r_g,group_decoupling_g,group_downward_g,group_part_driven_g,phi_r_atom_median_sum_g,phi_r_minus_atom_median_sum_g,atom_base_part0_to_whole_g,atom_part0_to_part1_g,atom_part1_to_part0_g,atom_part1_to_whole_g,atom_parts_to_whole_g,atom_whole_to_part0_g,atom_whole_to_part1_g,atom_whole_to_parts_g,atom_whole_to_whole_g,phi_r_z
default,12000,14,2.667829687374121,1.1251918362862992,1.433789708550886,0.08586522308579808,2.5649150011497106,0.02407220787548714,0.14696546041433733,-1.0982421128181716,-0.2478146721568163,0.2478146721568163,0.9983803790098595,0.21073708973123706,1.0512861001600027,0.1478830289222477,1.1251918362862992,0.025903083255100323
default,12000,15,2.3668441228000754,0.6786527302129766,1.5204011340054882,0.06909820628048025,2.3148470679625275,0.05036963381696369,0.20927709216192303,-1.0368961043083194,-0.4518712667367546,0.08192710268263914,0.718464063634989,0.43009018469311733,0.8196460426970796,0.1908981138956316,0.6786527302129766,0.026215135413263813
default,12000,16,1.4683785542897354,-0.4844970115207201,1.7709133217008262,0.12224048006786925,1.5372501964743615,-0.07838680052004598,0.869271302192756,-1.721606696178335,-0.5126663716222198,0.5055413513629545,0.8819899734705696,0.4998143007931015,1.2278414032359792,0.06032767145038531,-0.4844970115207201,0.03507166647459263
default,12000,17,2.5378983242620166,0.330323169110766,2.0931126065069385,0.08364496727776038,2.5915191768995087,0.0039622988092919975,0.3584541859058148,-1.6375535463099118,-0.4661070699963814,0.3849105253323103,1.2567055055387537,0.2710669553341911,1.2911230539138678,0.03651118442040846,0.330323169110766,0.062177361451193444
default,12000,18,2.1251054786732624,0.273790455872994,1.6019671919951999,0.05583148697581669,2.136116785524989,-0.01866205751775485,0.15059134498788618,-1.440194355430965,-0.2796839742060171,0.2835320694561725,1.1636254846064698,0.16015668159045915,1.2766039529505218,0.13282419607515228,0.273790455872994,0.03762681028087381
default,12000,19,1.9902157007699683,0.5578977187368122,1.9443468231331256,0.05883897491764911,2.026191407452756,0.004619745907545436,0.4062721166766411,-0.9863157263967511,-0.913201326404091,0.5920514344190476,0.9574684101345282,0.7652418828743037,0.9373407081239746,0.0949418531294497,0.5578977187368122,0.1258201912750155
default,12000,20,2.1159159768168463,0.14995890139532886,1.7636624393508207,0.07845835340505292,2.118245409306969,-0.03247644336189026,0.5019218548941162,-1.5282353906014963,-0.36306336990112326,0.36899231389300857,1.1020875156990555,0.3615543410497555,1.4265213162208807,0.08142716088220425,0.14995890139532886,0.03353706700799136
default,12000,21,2.293193822765896,0.9802623196342535,1.3017553827959132,0.06216910253905927,2.3434071818087476,0.0036444462513718356,-0.11723523324375207,-1.3044295788705997,0.0,0.0,1.2479957671631792,-0.022147542820215693,1.2444340692263745,0.12114637177359627,0.9802623196342535,0.07560808293144693
default,12000,22,4.090027606404282,1.720487998321504,1.8811471773096204,0.10815103694854103,4.028328688522322,0.035668014372196355,-0.35121917107412803,-1.6921354442880872,-0.19062825153294757,0.20020109840338784,2.2889439666144815,-0.27109437810534087,1.661220463841992,0.5451143881875005,1.720487998321504,0.07581853000707277
default,12000,23,2.2195400923279625,-0.5178701218952986,2.560381388528886,0.0659234165024265,2.139680857732701,0.03435190507411656,1.2266134879964246,-1.466433156706235,-1.384912439844085,1.1115593881152674,0.4588836638450491,1.2732675346552933,1.320356745878996,0.1792566962502613,-0.5178701218952986,0.059447499015976284
default,12000,24,2.126731959501078,-0.08960590238282995,2.3838003268323367,0.08120136000186262,2.112391792016699,-0.007068363017755486,0.964259378042249,-1.3582435020398989,-1.0900510556092196,0.6016640822678471,1.0995349414163724,0.9737129582231312,1.3127606244588361,0.19686767594158583,-0.08960590238282995,0.06730384646856717
default,12000,25,1.8104856998570833,0.5756726600621545,1.2723197919805866,0.06592493200343053,1.8532654074947112,-0.0604806876971401,0.05957877976349668,-0.9659613427176607,-0.3279672353481229,0.17544061509499587,1.3001619584560653,0.2826157031204033,0.9514550776353653,0.17174608546124648,0.5756726600621545,0.07387440761690786
default,12000,26,2.2000729525044402,0.5934882372162269,1.6418032149008792,0.07270169074952748,2.1577514742933177,0.02233004931851057,0.6515716667282825,-0.6645217901260907,-1.0721379016439028,0.4382084330485756,0.6721489209074473,1.0714496291134905,0.6013034979042567,0.1776076015587038,0.5934882372162269,0.07877603943536121
default,12000,27,2.69027280300516,0.35348208409393456,2.5009962578557134,0.0920824231608185,2.693442924359269,0.023685520625293943,0.3647398004334784,-1.7567377253393457,-0.7545687148707867,0.7572542924350922,1.4147098811645737,0.380631805214773,1.7381210922437118,0.31095126468508427,0.35348208409393456,0.013880512907984206
default,12000,28,1.894709671646897,0.3519256530772932,1.4220351192718388,0.09169668513956675,1.9313819278524411,-0.017592463038114126,0.29502121755990984,-1.1708479821477131,-0.04246188615354107,0.04367277246738194,1.12544920738618,0.043232266743948755,1.0909545872568627,0.12504383575599065,0.3519256530772932,0.03871925767159273
default,12000,29,1.886152422214006,0.6112365222162552,1.2189424556210153,0.060995237723307616,1.9700237284827447,-0.024316646538498077,0.07960238881083692,-1.261271783556721,0.0,0.0,1.2130855254139863,-2.220446049250313e-16,1.1957286379211403,0.030298038655168197,0.6112365222162552,0.07718051470996493
default,12000,30,2.2922677644527956,0.04850249950777097,2.2921649921899596,0.12458969118440633,2.2017145523041175,0.014063890106691956,0.5718550030289745,-1.4178990618082676,-1.0025666307250964,0.9786252809184903,0.5296474373328572,0.779002000414406,1.2565894183511563,0.20372498716018628,0.04850249950777097,0.05680559947920248
default,18000,1,1.6749871599993962,0.675028613906433,0.8658600025802536,0.08788631851011997,1.682757319348522,0.001037669383896933,0.23360226790234107,-0.5033950082523142,-0.4571638902618539,0.45655002080082074,0.4861436910707527,0.4297695875500127,0.4656639139113062,0.06473562873697836,0.675028613906433,0.04448999183837435
default,18000,2,2.2967737081643618,1.089888699656768,1.315998734951993,0.03762821901040192,2.2469734150113156,0.033476586049176804,0.2632974021071844,-0.8860111414399688,-0.421760369956116,0.43348633550582705,0.5690006636801253,0.2740644801525641,0.8431743327277006,0.1373111668010777,1.089888699656768,0.06338164669857814
default,18000,3,2.6361371382791354,0.832502020414766,1.3865148622348702,0.08537522004836162,2.6241451366898216,-0.000665675637057328,0.4544749696920585,-1.4008429791492714,-0.18007831488504822,0.18097374030834257,1.1097566894745032,0.1807297219520081,1.2226101534577127,0.03933974288027864,0.832502020414766,0.08453392053166392
default,18000,4,1.6617043729653451,-0.15077869368742203,1.4581261246877655,0.06962433084877429,1.6920692524735157,-0.014649796096235623,0.6815261120333526,-1.0845843305560887,-0.6281604727342809,0.6289948699076378,0.3620839707013217,0.5906455988305062,0.9975537975931353,0.06682746420229468,-0.15077869368742203,0.03178420508036217
default,18000,5,2.242428940826464,1.0897952759270597,1.0259795318040084,0.07326316793201432,2.2029909768493545,0.023071816827216596,0.4009553723945274,-0.857891497683124,-0.3348623128539088,0.29455693924194426,0.317538233258994,0.3493632123635467,0.8205388328331799,0.058913206375051264,1.0897952759270597,0.03374549502668761
default,18000,6,2.186432382740291,-1.320362542015481,3.327088855000614,0.1294292891889265,2.267627010973542,-0.0873042066670322,1.4915355279085396,-1.9150251445734936,-1.71351729712165,1.612894259780536,0.48405494382937797,1.5014811252316669,1.8066597688702193,0.17747658010514256,-1.320362542015481,0.09602506392185005
default,18000,7,2.1567250883760547,0.20053569538196125,1.749199586410764,0.04431130366796454,2.1527866626679293,0.008267267699821002,0.6747825677822175,-1.3261846268753246,-0.5381142863413069,0.5443101272883747,0.7903720462317335,0.4672810900808506,1.198987092989027,0.08285698560181942,0.20053569538196125,0.019624494960036973
default,18000,8,2.129830030829282,-0.554303341291801,2.6531092134027996,0.14252110900321335,2.2003109399061316,-0.015922918255449003,1.0534203315305126,-1.7542011115194382,-1.0159962767536403,0.9991730684887465,0.9421494351347317,0.7934022072833937,1.5663083953688286,0.1308258598311085,-0.554303341291801,0.04960095384862194
default,18000,9,3.4138758597499326,0.6864981258468692,2.511775132245939,0.08662808334682082,3.3633954787947546,0.03952477661727194,0.35925719423311553,-1.4620238163934198,-1.1037405471452346,1.1096149204719195,1.3752890641137503,0.36012796334656094,1.4649804239891577,0.5272327994318637,0.6864981258468692,0.05300446193212968
default,18000,10,2.2101362442859953,0.5046244357435301,1.5450783130973664,0.07521713799918511,2.160279489644065,0.0010078601282285105,0.4742991567820187,-1.2931743742750033,-0.5108164405871521,0.5255536732620496,0.9061210277574714,0.3744060830780719,1.0981932208260692,0.16378284783919117,0.5046244357435301,0.01607931206313247
default,18000,11,2.1056852812536597,0.38985881960385127,1.5806769539364858,0.06742780148900912,2.06695091010132,0.004561116590197423,0.34703572662335824,-1.216067315130666,-0.47167155489592705,0.477675617205108,0.9319375970547704,0.23888924383708487,1.1569738770128584,0.25536978220660667,0.38985881960385127,0.021170929601827482
default,18000,12,1.8673529254078982,-0.10071849896446139,1.8688802468959433,0.0948205256983774,1.8607893423797277,-0.02134887504052496,0.7707250366363316,-0.9656520433137915,-1.2002895922750914,0.9638596588222916,0.5834843109193204,0.9990873609248012,0.9588128069366035,0.15232265436449466,-0.10071849896446139,0.07208073857054864
default,18000,13,1.811174273816031,-0.9553178471963111,2.582941237483677,0.047821772578192645,1.7694398630296335,0.02579477816249176,1.5011330341028084,-1.5920754902523084,-1.2305221536053463,1.0948151665827672,0.31797406644783177,1.2232072065070656,1.2452520060496934,0.1625748415146928,-0.9553178471963111,0.058456263066393496
default,18000,14,2.2674174091449606,0.7758159947141661,1.2005890364936156,0.09373157768572715,2.402078408044722,-0.025333935728576673,-0.20788320814432182,-1.1004453249396422,-0.08713068514386588,0.09139194737062084,1.3113663049534927,-0.11340165631945917,1.088407968062714,0.49812649400670383,0.7758159947141661,0.036135971743153264
default,18000,15,1.8819753866830302,0.23447381648062926,1.6216411226560212,0.05538540993762514,1.8917272475969849,0.009617433876223602,0.5496121351318365,-0.8722545431352065,-0.70516931916967,0.2883086813862443,0.607960439207014,0.5525798370610797,0.5825908823207979,0.1322775432006988,0.23447381648062926,0.06404929238132911
