checkpoint,metric,n_paired_seeds,median_raw_diff,raw_diff_ci95_low,raw_diff_ci95_high,raw_diff_wilcoxon_p,median_delta_default,delta_default_ci95_low,delta_default_ci95_high,median_delta_coupled,delta_coupled_ci95_low,delta_coupled_ci95_high,median_delta_delta,delta_delta_ci95_low,delta_delta_ci95_high,delta_delta_wilcoxon_p
30000,group_decoupling_g,30,0.2656293889611899,-0.03018848823647957,0.44992498152665494,0.029325857758522034,-0.5700500131193477,-0.6977921882704683,-0.4038551570155786,-0.1654097745863028,-0.5110318003431892,0.02916274564766974,0.2656293889611899,-0.03018848823647957,0.44992498152665494,0.029325857758522034
36000,group_decoupling_g,30,0.03652450260887807,-0.30616293484282564,0.24370672724419584,0.6554384250193834,-0.5094813083597306,-0.7917470935087099,-0.2620954127579963,-0.5279635706081798,-0.795715330086095,-0.2791758898056359,0.03652450260887807,-0.30616293484282564,0.24370672724419595,0.6554384250193834
42000,group_decoupling_g,30,-0.037252505294140925,-0.3638181976580809,0.20944408152610583,0.40449450351297855,-0.6085026260478782,-0.9564024438082525,-0.07688742717474661,-0.5743177954451849,-0.9972719762416422,-0.32056798171555745,-0.037252505294140925,-0.3638181976580809,0.20944408152610594,0.40449450351297855
48000,group_decoupling_g,30,-0.28392484098623927,-0.5926603351264277,-0.10696539433493879,0.0050126127898693085,-0.6518650610646858,-0.8160423339942412,-0.05564761710587818,-0.8910068808648755,-1.168783701111181,-0.3885121936009248,-0.28392484098623927,-0.5926603351264277,-0.10696539433493879,0.0050126127898693085
12000,group_downward_g,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18000,group_downward_g,30,0.08503198971313353,-0.3480583696621842,0.44568378156066013,0.4161298982799053,-0.04767732628139387,-0.20037280921737533,0.24323473459264378,0.0949886461779817,-0.1578742386931884,0.3602692074215327,0.08503198971313353,-0.3480583696621842,0.44568378156066013,0.4161298982799053
24000,group_downward_g,30,0.06547825437985799,-0.13289838317845604,0.6397785800410253,0.28936620615422726,-0.08479775848732607,-0.29479351208389665,0.17547220677836406,0.12528971386115828,-0.24390199738776713,0.4684773656010015,0.06547825437985799,-0.13289838317845604,0.6397785800410253,0.28936620615422726
30000,group_downward_g,30,-0.12013554470705012,-0.46841060815285207,0.09104901649225294,0.370740607380867,0.25372012968195345,-0.07828318487440722,0.6798448682265427,0.13391118814965286,-0.286946788023694,0.609125465072542,-0.12013554470705012,-0.46841060815285207,0.09104901649225294,0.370740607380867
36000,group_downward_g,30,0.15475973180661917,-0.09574246794149843,0.5131187773896454,0.15794767439365387,0.16511726868079024,-0.09186456914927277,0.48774649132338943,0.1972719814486188,-0.06452120799462557,0.740678956627161,0.15475973180661917,-0.09574246794149843,0.5131187773896454,0.15794767439365387
42000,group_downward_g,30,0.1858461459406029,-0.014915824227722987,0.5162487937505187,0.044907208532094955,0.15204875960844944,-0.03320810612059377,0.5139013478742118,0.4420200178998047,0.12359748553088967,0.6658206355949762,0.1858461459406029,-0.014690890576340432,0.5162487937505187,0.044907208532094955
48000,group_downward_g,30,0.3987050574701445,0.3051737895606157,0.5599778383321803,0.0005548261106014252,0.1078721560326068,-0.17508191076196766,0.34678175854737525,0.5547556341174598,0.20146117284705017,0.8238763512691444,0.3987050574701445,0.3051737895606157,0.5639082364918226,0.0005548261106014252
12000,group_part_driven_g,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18000,group_part_driven_g,30,0.0019074902930353577,-0.008730393548122911,0.009310059910755392,1.0,-0.0044651526702571,-0.011723867966807439,0.005651802685888607,-0.01183827619910982,-0.016203924506724643,0.003441041473086992,0.0019074902930353577,-0.008730393548122911,0.010318784168623973,1.0
24000,group_part_driven_g,30,0.014595631198179193,-0.00950961533688699,0.02457815446866765,0.338741784915328,-0.01618509564477491,-0.033563920749570875,-0.0012286490970886688,-0.012603486949188974,-0.020043328131720273,0.0067975927419470505,0.014595631198179193,-0.00950961533688699,0.02457815446866765,0.338741784915328
30000,group_part_driven_g,30,0.007989306359252463,-0.008797608307924976,0.025097128875189306,0.338741784915328,-0.009235211739722221,-0.02136186230790474,0.005179669113868801,-0.0052002914891570995,-0.01650000862057202,0.009748963174704028,0.007989306359252463,-0.008797608307924976,0.025097128875189306,0.338741784915328
36000,group_part_driven_g,30,0.0020600703283993327,-0.008907701128915035,0.011636558357789317,0.8235769439488649,-0.006857332219556561,-0.01254200438559963,0.004611081304983028,-0.001880167380376413,-0.016022916843688867,0.013932853044572424,0.0020600703283993327,-0.008907701128915035,0.011636558357789317,0.8235769439488649
42000,group_part_driven_g,30,0.0064562278730666,-0.012639595326339488,0.016222264076505344,0.8871948085725307,-0.008448353900932543,-0.02282073366333756,0.004576820941127435,-0.011187596155304236,-0.024332980079079747,0.0023041229580234024,0.0064562278730666,-0.012628220028112092,0.016222264076505344,0.8871948085725307
48000,group_part_driven_g,30,-0.0015769086013478761,-0.024182619835198066,0.012341856723080191,0.583757072687149,-0.0011340437754895072,-0.020812351129349788,0.0059519059725446355,-0.012023968598665669,-0.019825666180407348,0.0012967416255930397,-0.0015769086013478761,-0.024182619835198066,0.012341856723080191,0.583757072687149
12000,phi_r_z,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18000,phi_r_z,30,0.0011444672389517262,-0.009731159506388441,0.013347688882649613,0.9515264742076397,-0.0016209633488921127,-0.01101255982967405,0.009833598135259903,0.0035333895487353554,-0.003968697866063391,0.009745138805919686,0.0011444672389517262,-0.009205483961923139,0.013347688882649613,0.9515264742076397
24000,phi_r_z,30,0.00783369799014378,-0.004215056413887253,0.020165789048436987,0.21293285302817822,-0.009950341674467875,-0.01590292046594561,0.00734624860593721,0.005852718009541142,-0.013716938229559304,0.02286140233266924,0.00783369799014378,-0.004215056413887253,0.020165789048436987,0.21293285302817822
30000,phi_r_z,30,0.004542987908858577,-0.01805023073618977,0.026295818569000852,0.6701805889606476,0.008706362295044637,-0.020161598741472383,0.022045585618218445,0.000705085864859803,-0.012193634938140414,0.019816419219593213,0.004542987908858577,-0.01805023073618977,0.02629581856900085,0.6701805889606476
36000,phi_r_z,30,0.0051534916856103355,-0.011415547050587064,0.021619936889443466,0.5561132747679949,-0.0064553277270443,-0.021044090038192728,0.009605583323704694,0.00033377858366632,-0.009925423504772483,0.014577539058356629,0.0051534916856103355,-0.011415547050587064,0.021619936889443466,0.5561132747679949
42000,phi_r_z,30,0.028462235249668573,-0.0003240681004824334,0.046195706560433106,0.03841841779649258,-0.0031381310938893917,-0.010341073163762156,0.011978444019873889,0.012474885439003417,-0.0035860700737089628,0.04281121451240593,0.028462235249668573,-0.0003240681004824334,0.046195706560433106,0.03841841779649258
48000,phi_r_z,30,0.011301790931012239,-0.01295753896068949,0.03100086903170323,0.5027610473334789,0.00536243802507674,-0.0001880716416339384,0.012671392926152608,-0.002243831538665045,-0.01115740949031183,0.040449277838019916,0.011301790931012239,-0.01295753896068949,0.03100086903170323,0.5027610473334789
