group,seed,episode,tau,phi_g
trained,1,5,-29,0.8532270096815853
trained,1,5,-24,0.896399490022245
trained,1,5,-19,1.1287038593346281
trained,1,5,-14,1.155987041346077
trained,1,5,-9,1.183676752322255
trained,1,5,-4,1.1863539153534306
trained,1,5,1,1.2306542036425057
trained,1,5,6,1.5371415600273495
trained,1,5,11,1.7904301190427776
trained,1,5,16,1.7014202535309293
trained,1,5,21,1.687196221817392
trained,1,5,26,1.3769049194482337
trained,1,5,31,1.246268403492609
trained,1,5,36,1.2960762689948
trained,1,5,41,0.9714218162438027
trained,1,5,46,0.7387119227705086
trained,1,5,51,1.0898077740452334
trained,1,5,56,1.2536041361169337
trained,1,5,61,1.1884583260365111
trained,1,5,66,1.0290251145922518
trained,1,5,71,0.9424254898895714
trained,1,5,76,1.2061883515489484
trained,1,5,81,0.9768697086130478
trained,1,5,86,1.2565560902902748
trained,1,5,91,1.3904784916841477
trained,1,5,96,1.3597722259230403
trained,1,5,101,1.3563856811982529
trained,1,5,106,1.5084518852608708
trained,1,5,111,1.259243290087155
trained,1,5,116,1.1425356598200578
trained,1,5,121,1.2397798407723972
trained,1,5,126,1.3128026936352477
trained,1,5,131,0.6562336921791719
trained,1,5,136,0.7296445728643817
trained,1,5,141,1.0087167529247707
trained,1,6,-279,1.2756119758382458
trained,1,6,-274,3.3462475111080168
trained,1,6,-269,0.7176298889940592
trained,1,6,-264,1.8379549145088983
trained,1,6,-259,1.8285442249238826
trained,1,6,-254,2.0724313604743907
trained,1,6,-249,2.1457533045688972
trained,1,6,-244,1.7511171901499694
trained,1,6,-239,1.2070338858764615
trained,1,6,-234,0.8934859744692218
trained,1,6,-229,0.7451249303056648
trained,1,6,-224,0.8951121750898423
trained,1,6,-219,1.059815832826867
trained,1,6,-214,1.0178364646583598
trained,1,6,-209,0.7930213058667009
trained,1,6,-204,0.5694203146987137
trained,1,6,-199,0.7696029092585207
trained,1,6,-194,0.8535939348572283
trained,1,6,-189,0.6186392330071171
trained,1,6,-184,0.8636945747736846
trained,1,6,-179,0.9663411546623611
trained,1,6,-174,1.0132889546274406
trained,1,6,-169,0.975544435122797
trained,1,6,-164,0.6780728544622681
trained,1,6,-159,0.8678781711152701
trained,1,6,-154,0.8483507707978268
trained,1,6,-149,0.7806253495424182
trained,1,6,-144,1.060799669246928
trained,1,6,-139,0.6635769216170904
trained,1,6,-134,0.6807193972163333
trained,1,6,-129,0.9144061037050012
trained,1,6,-124,0.5091381299695525
trained,1,6,-119,0.881811396467488
trained,1,6,-114,0.9029505183345203
trained,1,6,-109,1.0115626044624506
trained,1,6,-104,0.7835921677468153
trained,1,6,-99,0.7857329992298836
trained,1,6,-94,0.7603085445923834
trained,1,6,-89,0.7758186266072646
trained,1,6,-84,0.7463794750068977
trained,1,6,-79,0.6847194099179392
trained,1,6,-74,0.7000829269781551
trained,1,6,-69,0.7091058774927421
trained,1,6,-64,0.7742516264258981
trained,1,6,-59,0.6564954351344844
trained,1,6,-54,0.7779467628049672
trained,1,6,-49,0.534229291498502
trained,1,6,-44,0.4416442162923296
trained,1,6,-39,0.6609239579820956
trained,1,6,-34,0.9381405082535581
trained,1,6,-29,1.0898337651278789
trained,1,6,-24,0.9877428426285695
trained,1,6,-19,1.0820728154498738
trained,1,6,-14,1.1248609845132225
trained,1,6,-9,1.1622519794025943
trained,1,6,-4,0.3848920425996536
trained,1,6,1,0.37761616650116125
trained,1,6,6,1.6150918121924156
trained,1,6,11,1.9406825249017268
trained,1,6,16,1.9756477850270078
trained,1,6,21,1.8626556255730895
trained,1,6,26,1.7006983997473337
trained,1,6,31,1.463694829250702
trained,1,6,36,1.5266005631175705
trained,1,6,41,1.7603413724682007
trained,1,6,46,1.7050845518007276
trained,1,6,51,1.5835652055685925
trained,1,6,56,1.5775909482245267
trained,1,6,61,1.4636596780733298
trained,1,6,66,1.3729536926703012
trained,1,6,71,1.326506621934184
trained,1,6,76,1.0625053666960396
trained,1,6,81,0.7638696630491172
trained,1,6,86,0.6678651642386138
trained,1,6,91,0.7128688218311704
trained,1,6,96,0.8813822091253414
trained,1,6,101,0.9663832379786705
trained,1,6,106,0.9967853365745201
trained,1,6,111,0.8338087716499599
trained,1,6,116,0.8592380751941584
trained,1,6,121,0.8023980353635619
trained,1,6,126,0.909022276186791
trained,1,6,131,1.0255187934793442
trained,1,6,136,0.8211493182677944
trained,1,6,141,0.6550510228045908
trained,1,7,-279,3.6112056987016503
trained,1,7,-274,3.4534273152049537
trained,1,7,-269,2.263986723010503
trained,1,7,-264,0.8818912801769223
trained,1,7,-259,1.113759038124375
trained,1,7,-254,1.9804756797084226
trained,1,7,-249,1.9950934962355924
trained,1,7,-244,2.0823815186605557
trained,1,7,-239,1.5084915083797146
trained,1,7,-234,1.2223716614897517
trained,1,7,-229,1.3056280299943528
trained,1,7,-224,1.5227756374064187
trained,1,7,-219,1.4265193130278817
trained,1,7,-214,0.7457094850175958
trained,1,7,-209,1.2547992889572384
trained,1,7,-204,0.8879038184776349
trained,1,7,-199,0.8545577413118373
trained,1,7,-194,0.8472560028085044
trained,1,7,-189,0.7194234890947868
trained,1,7,-184,0.7985980782747313
trained,1,7,-179,0.8579611783314718
trained,1,7,-174,0.8223338717661229
trained,1,7,-169,0.899603287451622
trained,1,7,-164,0.6972713711691547
trained,1,7,-159,0.7708937042366479
trained,1,7,-154,1.0486705727236998
