group,condition,seed,episode,base_part0_to_whole,parts_to_whole,part1_to_whole,whole_to_part0,whole_to_parts,whole_to_part1,whole_to_whole,part0_to_part1,part1_to_part0,group_decoupling,group_downward,group_part_driven,phi_r_total
trained,clean,5,8,0.0700722450824236,0.6578790683936916,0.2121856901728103,0.034959169423157466,0.1622939591885142,0.5765773850677115,0.4489072951493016,-0.6121293475891413,-0.19809126782003106,0.4489072951493016,0.7738305136793832,0.12991638823975316,1.352654197068438
trained,clean,5,9,0.4264282910462075,0.21953402561257307,0.5690957618223833,0.386983413427588,0.12400931505052959,0.5689487478452959,0.26615290240181233,-0.6067295332638774,-0.5639975603123794,0.26615290240181233,1.0799414763234134,0.044330984904907056,1.3904253636301327
trained,clean,6,0,1.085938947263023,0.2162372323051489,1.0926041554706323,1.1277673639682853,0.09966784271343165,0.946375974002995,-0.5936510133919684,-1.090786467705242,-1.2415563621018475,-0.5936510133919684,2.173811180684712,0.06243750523171476,1.6425976725244582
trained,clean,6,1,0.8931261210550729,0.3455566165569359,1.0912618114336088,0.9687469068275001,0.17702779324296314,0.890688870120685,-0.7586074471668658,-1.034657253994808,-1.2360841433954368,-0.7586074471668658,2.036463570191148,0.05920315165537282,1.337059274679655
trained,clean,6,2,0.4547609706450021,0.6833530306586815,0.5450746146339563,0.3696974334241988,0.17194860651623922,1.0077750860412342,-0.06058411547856446,-1.0891109631796485,-0.5441527433121963,-0.06058411547856446,1.5494211259816724,0.049924909445795085,1.5387619199489029
trained,clean,6,3,0.4775764550307628,0.11616777545867263,0.3715271423276023,0.4006211598932947,0.05502404694598856,0.3834026307248797,0.24974320750227896,-0.5133991960523923,-0.42702259874301296,0.24974320750227896,0.839047837564163,0.024849578021632457,1.1136406230880744
trained,clean,6,4,-0.004576576568694257,0.9387535192487058,0.0,-0.016525136090782766,0.06876982316420599,0.7786272807772733,0.5706970073336137,-0.8659771232911344,0.0,0.5706970073336137,0.8308719678506965,0.06819981938887709,1.4697687945731874
trained,clean,6,5,-0.1573879372255873,1.184653829132404,0.0,-0.12486510679276575,0.16450995243356803,0.9481743850257932,0.3506094353615459,-1.0217852143792028,0.0,0.3506094353615459,0.9878192306665955,0.005480677527613942,1.3439093435557554
trained,clean,6,6,1.0370814527967023,0.8879050980620952,0.7508684312421845,0.7074211601017746,0.1355937542026111,1.5214267359082823,-0.671154778527578,-1.8344884718561272,-0.7590287259602749,-0.671154778527578,2.364441650212668,0.08233778428457994,1.7756246559696698
trained,clean,6,7,0.5452273479175402,0.4005166159698269,0.5719581116215086,0.42316510960769227,0.19214040739366167,0.7430957655469967,-0.3382196757408509,-0.8686826653706335,-0.621141216266444,-0.3382196757408509,1.3584012825483507,0.02787819387179813,1.0480598006792978
trained,clean,6,8,0.5501937702894587,0.3693936437314256,1.2017223936284438,0.8405110471168293,0.04358450084705945,0.6128385176143787,-0.4800744666834653,-0.6364068537897651,-1.4060850734524706,-0.4800744666834653,1.4969340655782675,0.07881788040709226,1.0956774793018944
trained,clean,6,9,0.09937238572476659,1.255380278715915,0.2061658054354929,0.0,0.3115018975199453,1.071422582801892,0.10876975860991278,-1.19665219330808,-0.2075969124516268,0.10876975860991278,1.3829244803218372,0.1566693641164676,1.6483636030482176
trained,clean,7,0,0.8841412612707727,0.4092419274144099,1.154758652575627,0.9455476708261138,0.18631455076279457,0.9167885301565739,-0.6542538156163804,-1.0447693600995696,-1.2529021402413631,-0.6542538156163804,2.048650751745482,0.15047034091987688,1.5448672770489786
trained,clean,7,1,0.6589964111068031,0.3939774522226016,0.8995149918144834,0.8801907467456938,0.08015256833379247,0.5886683827682596,-0.3194894567303548,-0.690801304044466,-1.1772547706387453,-0.3194894567303548,1.549011697847746,0.08443278046067659,1.3139550215780678
trained,clean,7,2,0.6854180669465926,0.8147625664703748,0.6119448579874545,0.5440729008105987,0.09382840884321308,1.2567107513052715,-0.5024890217371816,-1.372730085138348,-0.612726609140195,-0.5024890217371816,1.8946120609590833,0.12666879712587886,1.5187918363477806
trained,clean,7,3,0.12415201415770061,1.4098047911940235,0.27566177571646766,1.3530501225228981,0.1401706353596217,0.03639078044615496,0.128066583537902,-0.12415201415770061,-1.5750482141304498,0.128066583537902,1.5296115383286748,0.1104183527800413,1.7680964746466181
trained,clean,7,4,0.8975656714969156,0.10956439430758536,1.0261669460721528,0.8953005572993384,0.0474689442449685,0.9242521185048931,0.48051165208843605,-0.9415843632543885,-1.0415423200672624,0.48051165208843605,1.8670216200492,0.050170328555002586,2.3977036006926387
trained,clean,7,5,0.3689260610871852,0.8169771517780295,0.2572724345144657,0.17807444394101002,0.04410102411524752,0.9216477025609238,-0.1797049159783195,-1.0547376156431276,-0.2572724345144656,-0.1797049159783195,1.1438231706171813,0.1311655972220872,1.0952838518609491
