seed,episode,condition,phi_r_z,phi_r_g,phi_r_joint,delta_phi_r,group
1,6,clean,0.09217780831437958,3.945182089149176,2.437408975529432,-1.507773113619744,untrained
1,7,clean,0.017193001122536522,3.8174336164548355,3.2795919206202098,-0.5378416958346257,untrained
1,8,clean,0.004881906279446062,3.5886991357967686,2.7936019698073533,-0.7950971659894153,untrained
1,9,clean,0.005719113455657676,2.777687003038802,2.1491831050189227,-0.6285038980198792,untrained
2,0,clean,0.012862357054265222,4.718628964034517,3.937955817365678,-0.780673146668839,untrained
2,1,clean,0.0034814679746538596,4.625070869002048,3.9400599840996287,-0.6850108849024195,untrained
2,2,clean,0.22816791746690684,2.9804543821460223,2.25198556550501,-0.7284688166410125,untrained
2,3,clean,0.03935523120301482,3.845837571893089,3.1636087281507566,-0.6822288437423323,untrained
2,4,clean,0.01412379878641204,3.4445237203143764,4.07075221781077,0.6262284974963936,untrained
2,5,clean,0.05397456797655986,3.2065390895217987,3.81495601785576,0.6084169283339613,untrained
2,6,clean,0.028051142173719956,3.206660389245191,3.4759214762799164,0.2692610870347254,untrained
2,7,clean,0.07672252250494138,3.06798282252143,3.915951954845067,0.8479691323236374,untrained
