episode,phase,T,phi_r_z,phi_r_g,phi_r_joint,delta_phi_r,seed,condition
6,full,240,0.005985071600214775,4.377264164580346,3.70120452501823,-0.6760596395621161,3,clean
7,full,240,0.05377232235753293,5.097459751321102,3.508415419157992,-1.5890443321631098,3,clean
8,full,240,0.058728169985838186,5.308371145165383,4.185982090138457,-1.1223890550269262,3,clean
9,full,240,0.0040990086271044945,2.1080639351514323,1.7748950803672643,-0.333168854784168,3,clean
0,full,240,0.008129665765051142,0.9372005377054677,2.325135251881387,1.387934714175919,4,clean
1,full,240,0.04514035907126768,3.611413809716473,3.169543053950379,-0.44187075576609436,4,clean
2,full,240,0.08759474484116589,2.05465336622823,1.520356308917444,-0.5342970573107859,4,clean
3,full,240,0.04756802511285957,2.839592302292745,2.593646143232201,-0.2459461590605443,4,clean
4,full,240,0.0823014617095019,1.5490899015659323,1.363888458256391,-0.18520144330954125,4,clean
5,full,240,0.020402150083501713,1.8827702761483631,1.5821407731360466,-0.3006295030123165,4,clean
6,full,240,0.05959599224487147,0.8102888624848198,1.2383432563749328,0.428054393890113,4,clean
7,full,240,0.09830772310950442,2.497690053684379,2.0498130449964487,-0.44787700868793046,4,clean
8,full,240,0.07116539145530101,1.3573562004050148,0.9358227861269733,-0.4215334142780415,4,clean
9,full,240,0.036698807583863374,3.040821465377853,2.0528352253921405,-0.9879862399857124,4,clean
0,full,240,0.028063686545809374,2.3814672704241104,3.3351681955266654,0.953700925102555,5,clean
1,full,240,0.025324943760410168,2.333694068720658,2.553117065721753,0.2194229970010948,5,clean
2,full,240,0.011622341557678509,3.5605810846710226,3.6355311905176704,0.07495010584664774,5,clean
3,full,240,0.007308527114255087,1.7638782663430557,1.1351819748700338,-0.6286962914730219,5,clean
4,full,240,0.1525673425221341,4.05603633139677,3.3838759315687432,-0.672160399828027,5,clean
5,full,240,0.07046958172133977,1.3982424505179536,1.9008205880776954,0.5025781375597418,5,clean
6,full,240,0.030669390178284586,2.661389435750502,2.2879898292781418,-0.37339960647236037,5,clean
7,full,240,0.05774142153055085,0.7042761520473455,1.2653992641356278,0.5611231120882822,5,clean
8,full,240,0.03475662330757967,1.8574591205563749,1.30269685901112,-0.5547622615452548,5,clean
9,full,240,0.0712384959162975,5.111888480235624,2.9658222943115122,-2.146066185924112,5,clean
0,pre,119,0.04514466869669845,2.561203957174216,2.9106239583970157,0.3494200012227999,1,p20
0,post,121,0.012992032080510613,1.4006481360685505,1.3668617458276828,-0.033786390240867714,1,p20
1,pre,119,0.049164210526590826,1.1846287069838057,0.7438987970673215,-0.4407299099164842,1,p20
1,post,121,0.002684313183401465,1.14652732732698,0.6144960737056803,-0.5320312536212998,1,p20
2,pre,119,0.1239018032452245,1.1105129450244107,1.6733736322999029,0.5628606872754922,1,p20
2,post,121,0.06981348586477079,1.5204230168889858,1.5906860619612884,0.07026304507230252,1,p20
3,pre,119,0.02900880202446872,3.736441135946775,2.9139805170777997,-0.8224606188689751,1,p20
3,post,121,0.012000842358981793,1.0845438013096662,0.6869055717829526,-0.39763822952671357,1,p20
4,pre,119,0.08690410263193124,3.657518215475036,2.428514727524701,-1.2290034879503349,1,p20
4,post,121,0.041586231367729584,0.9195546584980674,0.4187782741389305,-0.5007763843591369,1,p20
5,pre,119,0.04239929887005092,2.4708514408002396,2.600287136339148,0.12943569553890866,1,p20
5,post,121,0.05059869208758039,1.1671079235595256,1.040932813339499,-0.1261751102200266,1,p20
6,pre,119,0.028918598199155696,2.9072177771671774,2.0113189359315196,-0.8958988412356579,1,p20
6,post,121,0.026698143744775617,1.191314124596464,1.4980079170529113,0.30669379245644723,1,p20
7,pre,119,0.13565425699832817,3.5650293161011684,2.626766953029485,-0.9382623630716833,1,p20
7,post,121,0.023880747898943497,0.7805356045117913,0.4978175153761935,-0.28271808913559776,1,p20
8,pre,119,0.12887472282976775,4.339692531271364,3.556516374679877,-0.783176156591487,1,p20
