seed,metric,default,coupled,effect_coupled_minus_default
29,group_decoupling_g,0.0605662121356553,-0.061315443450252,-0.1218816555859073
30,group_decoupling_g,-0.2098967853201419,-0.4383571127054884,-0.2284603273853465
1,group_downward_g,1.2871286669313826,2.6765973696336203,1.3894687027022377
2,group_downward_g,1.040972530652008,2.46510799986927,1.4241354692172623
3,group_downward_g,1.7854020505382049,0.7928839342781151,-0.9925181162600898
4,group_downward_g,2.3018184494543057,2.825808714891316,0.5239902654370101
5,group_downward_g,1.8001111259733924,1.832786058213588,0.032674932240195576
6,group_downward_g,2.901975837443934,2.4968049467420057,-0.40517089070192824
7,group_downward_g,1.4621969831661472,2.989384696339856,1.5271877131737086
8,group_downward_g,1.8560488128174168,1.553389011999331,-0.30265980081808586
9,group_downward_g,2.283406218679585,2.2526776455729727,-0.030728573106612256
10,group_downward_g,2.040642040888329,2.3432404221380465,0.3025983812497177
11,group_downward_g,1.861919477476111,2.2386406396046614,0.37672116212855045
12,group_downward_g,2.289837540365161,2.678747112150809,0.3889095717856481
13,group_downward_g,1.6208921447083746,2.822784134138581,1.2018919894302065
14,group_downward_g,1.6666819212037345,2.1357925674189,0.4691106462151653
15,group_downward_g,1.8406061124741264,2.4045143489659493,0.5639082364918229
16,group_downward_g,1.5049991273485104,2.7676134095935097,1.2626142822449993
17,group_downward_g,1.0868361006616034,1.4953366438162443,0.4085005431546409
18,group_downward_g,2.1130522798254394,2.4735670697051564,0.36051478987971697
19,group_downward_g,2.1452253141720496,1.983659992675319,-0.16156532149673075
20,group_downward_g,2.1495599938594143,2.089469034492677,-0.06009095936673736
21,group_downward_g,1.1831221222757344,2.4016109548589344,1.2184888325832
22,group_downward_g,1.5746844516902023,1.9202940307737213,0.34560957908351897
23,group_downward_g,2.362325126981427,3.1691517139626217,0.8068265869811948
24,group_downward_g,1.860823151887644,2.374915457613445,0.5140923057258011
25,group_downward_g,2.266770790224662,1.6464835121017911,-0.6202872781228708
26,group_downward_g,2.6091415100297124,2.916890707901226,0.30774919787151367
27,group_downward_g,0.8424301642599924,1.6234505349122017,0.7810203706522093
28,group_downward_g,1.3082739181524805,2.928255997397524,1.6199820792450437
29,group_downward_g,1.4914175590092908,1.5813836299540849,0.08996607094479403
30,group_downward_g,2.1400574322134838,2.6961048723860213,0.5560474401725375
1,group_part_driven_g,0.0752816715209188,0.072196379024643,-0.0030852924962758016
2,group_part_driven_g,0.0437281098712586,0.0687631480837733,0.025035038212514703
3,group_part_driven_g,0.0596053361941643,0.0634288240043176,0.003823487810153299
4,group_part_driven_g,0.0727670021440145,0.0945683843639338,0.0218013822199193
5,group_part_driven_g,0.0634767513290406,0.0746621670551279,0.011185415726087305
6,group_part_driven_g,0.0770847885560833,0.0905830862761564,0.01349829772007309
7,group_part_driven_g,0.0894689137800986,0.0657867343501572,-0.0236821794299414
8,group_part_driven_g,0.0384783318391539,0.0798045936519891,0.0413262618128352
9,group_part_driven_g,0.0482699800348373,0.0663094338330512,0.0180394537982139
10,group_part_driven_g,0.0553974549193232,0.0518752318102944,-0.003522223109028798
11,group_part_driven_g,0.1065932999727965,0.0676376212130649,-0.038955678759731605
12,group_part_driven_g,0.087200267047893,0.0464510763912471,-0.040749190656645895
13,group_part_driven_g,0.0711431653776021,0.1136758554473228,0.0425326900697207
14,group_part_driven_g,0.0640734563185995,0.0614934750838377,-0.0025799812347617954
15,group_part_driven_g,0.0689987399114593,0.0965668231146362,0.0275680832031769
16,group_part_driven_g,0.0616464725547787,0.0918060223471576,0.030159549792378892
17,group_part_driven_g,0.0587562600567801,0.0608750336588671,0.0021187736020870027
18,group_part_driven_g,0.0459713733089947,0.1218365381161971,0.0758651648072024
19,group_part_driven_g,0.0983267330567873,0.0691650431489677,-0.029161689907819602
20,group_part_driven_g,0.0583605905460145,0.0639599395981137,0.005599349052099203
21,group_part_driven_g,0.0406421631393981,0.0656692193175412,0.025027056178143103
22,group_part_driven_g,0.1081681635324729,0.0819561854006321,-0.0262119781318408
23,group_part_driven_g,0.1088021204436093,0.0650167829751305,-0.043785337468478805
24,group_part_driven_g,0.0900966509158773,0.0654135906754227,-0.024683060240454607
25,group_part_driven_g,0.1094295006127009,0.0645948879999535,-0.044834612612747404
26,group_part_driven_g,0.0888350097213026,0.067277869612994,-0.021557140108308587
27,group_part_driven_g,0.0655391970865695,0.0108423836488148,-0.0546968134377547
28,group_part_driven_g,0.1083426889916414,0.0785573212501009,-0.029785367741540503
29,group_part_driven_g,0.0906900622689758,0.050086664415442,-0.0406033978535338
30,group_part_driven_g,0.0832386392347109,0.0826648032667769,-0.0005738359679340055
1,phi_r_z,0.0556052314883328,0.1020197217078131,0.04641449021948029
2,phi_r_z,0.0577388825499175,0.105101933424357,0.047363050874439504
3,phi_r_z,0.0458230702336239,0.0795678238196023,0.0337447535859784
4,phi_r_z,0.052358640896085,0.078741201005801,0.026382560109715993
5,phi_r_z,0.0167272687077378,0.043816883026697,0.0270896143189592
6,phi_r_z,0.0598944774890017,0.0444782213355174,-0.015416256153484305
7,phi_r_z,0.0595282322059017,0.039895069291738,-0.0196331629141637
8,phi_r_z,0.0331657588136905,0.0657313767445733,0.0325656179308828
9,phi_r_z,0.0235478751658368,0.0130490533979421,-0.010498821767894698
10,phi_r_z,0.0491940348177112,0.249933780767907,0.2007397459501958
11,phi_r_z,0.1062146748036937,0.0617818816719956,-0.0444327931316981
12,phi_r_z,0.0395507739484905,0.1104819232460376,0.0709311492975471
13,phi_r_z,0.0559198186482061,0.0352104888690554,-0.0207093297791507
14,phi_r_z,0.1261171993155432,0.0484547782355364,-0.07766242108000679
15,phi_r_z,0.0590037223453612,0.1144461855690287,0.055442463223667506
16,phi_r_z,0.0297801585332391,0.0336392080159588,0.003859049482719701
17,phi_r_z,0.0605042556936082,0.1004450850871751,0.039940829393566905
18,phi_r_z,0.0702502804989596,0.0250482758605695,-0.045202004638390095
19,phi_r_z,0.1411675816042893,0.018092733603946,-0.1230748480003433
20,phi_r_z,0.0622873753628583,0.091723495495382,0.029436120132523703
21,phi_r_z,0.0294983055174929,0.0428510507071221,0.013352745189629197
22,phi_r_z,0.1123183261125179,0.1311240596864992,0.018805733573981312
23,phi_r_z,0.018814837385945,0.0275605907132366,0.008745753327291602
24,phi_r_z,0.0686008089428845,0.0163042028402987,-0.05229660610258581
25,phi_r_z,0.0857265672883801,0.1424236403348098,0.05669707304642971
26,phi_r_z,0.0462316851500599,0.0395790708578933,-0.006652614292166598
27,phi_r_z,0.1022690335210891,0.0108253082892879,-0.09144372523180119
28,phi_r_z,0.045421258785747,0.0813500897116508,0.03592883092590379
29,phi_r_z,0.0802066096594312,0.0328249250891721,-0.047381684570259104
30,phi_r_z,0.0221577432459229,0.0314085799183183,0.009250836672395402
