seed,metric,default,coupled,effect_coupled_minus_default
5,whole_to_parts,0.17629322026450012,0.1214565073612197,-0.05483671290328042
6,whole_to_parts,0.23040319012498095,0.36271830266628613,0.13231511254130518
7,whole_to_parts,0.09988256343645194,0.20270037635875499,0.10281781292230305
8,whole_to_parts,0.09273439031277106,0.14530257116646494,0.052568180853693885
9,whole_to_parts,0.9974339854541474,0.19088591874693125,-0.8065480667072161
10,whole_to_parts,0.29673027499562943,0.22070739570520076,-0.07602287929042867
11,whole_to_parts,0.3049853520375307,0.24274899899595445,-0.06223635304157624
12,whole_to_parts,0.19060309338644685,0.20916362518039605,0.018560531793949203
13,whole_to_parts,0.29030572531732374,0.2332405608766529,-0.057065164440670835
14,whole_to_parts,0.2561769106385094,0.2434447538611238,-0.012732156777385595
15,whole_to_parts,0.16388027931736476,0.1631192821758382,-0.0007609971415265537
16,whole_to_parts,0.14032306392218635,0.18268875866989787,0.04236569474771151
17,whole_to_parts,0.05211634804375895,0.04851241950940925,-0.0036039285343496957
18,whole_to_parts,0.17240570767729102,0.050795199591584794,-0.12161050808570623
19,whole_to_parts,0.2490644008980567,0.107067763423603,-0.1419966374744537
20,whole_to_parts,0.06549737723888466,0.24061273694700955,0.1751153597081249
21,whole_to_parts,0.0599513250500629,0.11636756415180645,0.05641623910174355
22,whole_to_parts,0.1479308645693091,0.24981008883621247,0.10187922426690338
23,whole_to_parts,0.21641764168681385,0.1356959038839631,-0.08072173780285075
24,whole_to_parts,0.18450782670314997,0.12811208894955,-0.05639573775359996
25,whole_to_parts,0.24520229116250042,0.3906660820982919,0.14546379093579148
26,whole_to_parts,0.21369676124000975,0.07538713750613085,-0.1383096237338789
27,whole_to_parts,0.07098866979671956,0.056232006736963006,-0.01475666305975655
28,whole_to_parts,0.0820328963589449,0.14133341681469525,0.05930052045575035
29,whole_to_parts,0.0564936925060962,0.0597233122284467,0.003229619722350502
30,whole_to_parts,0.11632161866236254,0.18966448304725753,0.07334286438489498
1,downward_reconstructed,1.2871286669313826,2.67659736963362,1.3894687027022372
2,downward_reconstructed,1.0409725306520081,2.46510799986927,1.424135469217262
3,downward_reconstructed,1.7854020505382047,0.7928839342781151,-0.9925181162600896
4,downward_reconstructed,2.3018184494543057,2.8258087148913162,0.5239902654370105
5,downward_reconstructed,1.8001111259733922,1.8327860582135878,0.032674932240195576
6,downward_reconstructed,2.901975837443934,2.4968049467420057,-0.40517089070192824
7,downward_reconstructed,1.462196983166147,2.989384696339856,1.5271877131737088
8,downward_reconstructed,1.8560488128174168,1.553389011999331,-0.30265980081808586
9,downward_reconstructed,2.283406218679585,2.2526776455729727,-0.030728573106612256
10,downward_reconstructed,2.040642040888329,2.3432404221380465,0.3025983812497177
11,downward_reconstructed,1.861919477476111,2.2386406396046614,0.37672116212855045
12,downward_reconstructed,2.289837540365161,2.678747112150809,0.3889095717856481
13,downward_reconstructed,1.6208921447083746,2.8227841341385815,1.201891989430207
14,downward_reconstructed,1.6666819212037343,2.1357925674188993,0.4691106462151651
15,downward_reconstructed,1.8406061124741262,2.4045143489659493,0.5639082364918231
16,downward_reconstructed,1.5049991273485104,2.7676134095935097,1.2626142822449993
17,downward_reconstructed,1.0868361006616032,1.4953366438162443,0.4085005431546411
18,downward_reconstructed,2.11305227982544,2.4735670697051564,0.3605147898797165
19,downward_reconstructed,2.1452253141720496,1.983659992675319,-0.16156532149673075
20,downward_reconstructed,2.1495599938594143,2.089469034492677,-0.06009095936673736
21,downward_reconstructed,1.1831221222757344,2.4016109548589344,1.2184888325832
22,downward_reconstructed,1.5746844516902023,1.9202940307737215,0.3456095790835192
23,downward_reconstructed,2.3623251269814265,3.1691517139626217,0.8068265869811952
24,downward_reconstructed,1.8608231518876435,2.3749154576134455,0.514092305725802
