seed,episode,condition,shared_partition_signature,shared_partition_n1,shared_partition_n2,phi_r_g,group_decoupling_g,group_downward_g,group_part_driven_g
9,1,coupled,"A[1,3]|B[0,2,4,5,6,7,8,9,10,11]",2,10,1.9934671261607528,0.1784956644837088,1.7468480592081246,0.07565316369057196
9,1,default,"A[1,3]|B[0,2,4,5,6,7,8,9,10,11]",2,10,3.6990180718905696,1.023159579432762,2.5505564892950936,0.09249427906172891
9,2,coupled,"A[1]|B[0,2,3,4,5,6,7,8,9,10,11]",1,11,1.5342881078326367,0.41439807342624313,1.0949225882695595,0.12611129921157604
9,2,default,"A[1]|B[0,2,3,4,5,6,7,8,9,10,11]",1,11,3.2902910963072336,0.971378140680768,2.2463763084973403,0.03211474251023688
9,3,coupled,"A[1]|B[0,2,3,4,5,6,7,8,9,10,11]",1,11,1.6193776701478275,0.20741116998155462,1.3491349085915247,0.17952546972902628
9,3,default,"A[1]|B[0,2,3,4,5,6,7,8,9,10,11]",1,11,3.366953159574841,1.0389006138310437,2.117088240650109,0.04197777699204114
9,4,coupled,"A[1]|B[0,2,3,4,5,6,7,8,9,10,11]",1,11,2.029819197153305,0.7846228983018682,1.3522742875949878,-0.02631568146859342
9,4,default,"A[1]|B[0,2,3,4,5,6,7,8,9,10,11]",1,11,3.1326860035005115,0.7811823153914403,2.32043612886183,0.024590524982349704
9,5,coupled,"A[1]|B[0,2,3,4,5,6,7,8,9,10,11]",1,11,1.5590716536746192,0.31367145952783737,1.1995714117485305,-0.004467750858274666
9,5,default,"A[1]|B[0,2,3,4,5,6,7,8,9,10,11]",1,11,3.252753104249678,1.205555799027529,1.8448036501161873,0.11683202564931366
9,6,coupled,"A[1,3]|B[0,2,4,5,6,7,8,9,10,11]",2,10,2.237211452838048,0.6093404464698313,1.594836907831607,0.09562088589051543
9,6,default,"A[1,3]|B[0,2,4,5,6,7,8,9,10,11]",2,10,3.307928980416338,0.7307958185851025,2.4853473425905994,0.0545621830776335
9,7,coupled,"A[1,3]|B[0,2,4,5,6,7,8,9,10,11]",2,10,2.270826255795507,0.19713405064462108,1.8610139682307745,0.2576665261920812
9,7,default,"A[1,3]|B[0,2,4,5,6,7,8,9,10,11]",2,10,3.494300714775456,1.2437701272783128,2.105502656952666,0.08075604113981949
9,8,coupled,"A[1]|B[0,2,3,4,5,6,7,8,9,10,11]",1,11,1.6854565830245571,0.07598745246194483,1.594134801004286,-0.02572237291574342
9,8,default,"A[1]|B[0,2,3,4,5,6,7,8,9,10,11]",1,11,3.2952302081778515,0.6928307781761642,2.509875377838918,0.026244421859035194
9,9,coupled,"A[1,3]|B[0,2,4,5,6,7,8,9,10,11]",2,10,2.5634924917845368,0.41323834485492483,1.7799957773065531,0.2972151292507307
