seed,episode,signature_default,signature_coupled,partition_mismatch_fraction,partition_agreement,exact_partition_match
6,7,"A[6,7,11]|B[0,1,2,3,4,5,8,9,10]","A[1,2,3,4,5,6,7,9,10,11]|B[0,8]",0.4166666666666667,0.5833333333333333,False
6,8,"A[6,7,11]|B[0,1,2,3,4,5,8,9,10]","A[4,6,7,9,11]|B[0,1,2,3,5,8,10]",0.16666666666666666,0.8333333333333334,False
6,9,"A[6,7,10,11]|B[0,1,2,3,4,5,8,9]","A[4,6,7,9,11]|B[0,1,2,3,5,8,10]",0.25,0.75,False
7,0,"A[1,6]|B[0,2,3,4,5,7,8,9,10,11]","A[1,4,7,11]|B[0,2,3,5,6,8,9,10]",0.3333333333333333,0.6666666666666667,False
7,1,"A[1,10,11]|B[0,2,3,4,5,6,7,8,9]","A[1,4,5,7,11]|B[0,2,3,6,8,9,10]",0.3333333333333333,0.6666666666666667,False
7,2,"A[3,5,6,9]|B[0,1,2,4,7,8,10,11]","A[1,4,5,7,11]|B[0,2,3,6,8,9,10]",0.4166666666666667,0.5833333333333333,False
7,3,"A[1,3,5,6,9]|B[0,2,4,7,8,10,11]","A[5]|B[0,1,2,3,4,6,7,8,9,10,11]",0.3333333333333333,0.6666666666666667,False
7,4,"A[1,2,9,10]|B[0,3,4,5,6,7,8,11]","A[2,3,5,6,8,9,10]|B[0,1,4,7,11]",0.4166666666666667,0.5833333333333333,False
7,5,"A[6,9]|B[0,1,2,3,4,5,7,8,10,11]","A[1,4,7,10,11]|B[0,2,3,5,6,8,9]",0.4166666666666667,0.5833333333333333,False
7,6,"A[3,5]|B[0,1,2,4,6,7,8,9,10,11]","A[3,5,6,9,10]|B[0,1,2,4,7,8,11]",0.25,0.75,False
7,7,"A[1,10,11]|B[0,2,3,4,5,6,7,8,9]","A[4,7,10,11]|B[0,1,2,3,5,6,8,9]",0.25,0.75,False
7,8,"A[3,5,6,9]|B[0,1,2,4,7,8,10,11]","A[2,3,5,6,8,9,10]|B[0,1,4,7,11]",0.25,0.75,False
7,9,"A[6]|B[0,1,2,3,4,5,7,8,9,10,11]","A[1,4,5,6,7,9,10,11]|B[0,2,3,8]",0.4166666666666667,0.5833333333333333,False
8,0,"A[1,4,5]|B[0,2,3,6,7,8,9,10,11]","A[6,8,9,10,11]|B[0,1,2,3,4,5,7]",0.3333333333333333,0.6666666666666667,False
8,1,"A[5,8]|B[0,1,2,3,4,6,7,9,10,11]","A[4]|B[0,1,2,3,5,6,7,8,9,10,11]",0.25,0.75,False
8,2,"A[1,4,5]|B[0,2,3,6,7,8,9,10,11]","A[9]|B[0,1,2,3,4,5,6,7,8,10,11]",0.3333333333333333,0.6666666666666667,False
8,3,"A[1,4,5]|B[0,2,3,6,7,8,9,10,11]","A[4]|B[0,1,2,3,5,6,7,8,9,10,11]",0.16666666666666666,0.8333333333333334,False
8,4,"A[2,3,6,7,9,10,11]|B[0,1,4,5,8]","A[8,9]|B[0,1,2,3,4,5,6,7,10,11]",0.4166666666666667,0.5833333333333333,False
8,5,"A[1,4,5,8]|B[0,2,3,6,7,9,10,11]","A[4,5,9]|B[0,1,2,3,6,7,8,10,11]",0.25,0.75,False
8,6,"A[1,4,5,8]|B[0,2,3,6,7,9,10,11]","A[1]|B[0,2,3,4,5,6,7,8,9,10,11]",0.25,0.75,False
8,7,"A[1,4,5]|B[0,2,3,6,7,8,9,10,11]","A[8,10,11]|B[0,1,2,3,4,5,6,7,9]",0.5,0.5,False
8,8,"A[2,3,6,7,8,10,11]|B[0,1,4,5,9]","A[4,5,9]|B[0,1,2,3,6,7,8,10,11]",0.16666666666666666,0.8333333333333334,False
8,9,"A[1,4,5,9]|B[0,2,3,6,7,8,10,11]","A[5,6]|B[0,1,2,3,4,7,8,9,10,11]",0.3333333333333333,0.6666666666666667,False
9,0,"A[1,3]|B[0,2,4,5,6,7,8,9,10,11]","A[1,3,8]|B[0,2,4,5,6,7,9,10,11]",0.08333333333333333,0.9166666666666666,False
