condition,checkpoint,seed,episode,external_sha256,phi_r_g,phi_r_z,group_decoupling_g,group_downward_g,group_part_driven_g,atom_base_part0_to_whole_g,atom_parts_to_whole_g,atom_part1_to_whole_g,atom_whole_to_part0_g,atom_whole_to_parts_g,atom_whole_to_part1_g,atom_whole_to_whole_g,atom_part0_to_part1_g,atom_part1_to_part0_g,phi_r_g_shuffled,whole_to_single_sum,whole_to_parts,downward_reconstructed,downward_reconstruction_error
coupled,48000,21,6,aa52b477675f028f7f05585d6e76d7c1e052216fc5ff0c12d5b19191dbb9f848,1.7505116406416572,0.0069735656501005,0.3438102176800548,1.2427470321579517,0.0282946481065178,0.5748438429283025,0.247710536857753,0.4808946186838554,0.4584804541884435,0.0508401399198996,0.7334264380496083,0.3438102176800548,-0.7942597316795377,-0.4808946186838554,,1.1919068922380518,0.0508401399198996,1.2427470321579515,-2.220446049250313e-16
coupled,48000,21,7,0193a206e04983fbfc2b0b7090a2206526ec6d42519b69d1a4291436c936eec5,1.4685963828898303,0.1253996692010219,-1.0101882065949042,2.42872541085337,0.0898858211159578,1.240337313909878,0.2367038940972858,1.1100736606052943,1.1252025053219057,0.1406091029237246,1.1629138026077397,-1.0101882065949042,-1.327351285438044,-1.1698777620584562,,2.2881163079296454,0.1406091029237246,2.42872541085337,0.0
coupled,48000,21,8,61d4cf29a73d0fbebcfd1d461184e2ae14c4900d005b36c4d18f6b61215564be,2.1263886000065493,0.1268131451732856,-1.0850643518340313,3.116861419596561,0.056423817201223,1.5152803860556336,0.2625408246549208,1.4420518478976798,1.594544149171861,0.1482174310664314,1.3740998393582686,-1.0850643518340313,-1.5227350717412094,-1.640714169665802,,2.96864398853013,0.1482174310664314,3.116861419596561,0.0
coupled,48000,21,9,794bd6f53d04e380a07ad3b23a7b78a7204d02f669ee999f3c58aefed46e047b,1.4345627026825192,0.016310504190207,-0.8911252810542614,2.2505383899710827,0.084351737837564,1.7120789312986486,0.3209003981218128,0.9473956952229388,0.97162280475183,0.1326623061001504,1.1462532791191022,-0.8911252810542614,-1.9128679351897209,-0.9831553516161158,,2.1178760838709323,0.1326623061001504,2.2505383899710827,0.0
coupled,48000,22,0,2bdde52c6bb6e994a3f0d7c441ff03c743b87486b9efafb8c87e3d9aefd1bf30,2.6590498852023856,0.1242289505916076,0.5093709809397149,1.987422844645654,0.08537898087661,1.1612779266355977,0.60923054410341,0.3987026880998929,0.9286211469288972,0.5499889251676415,0.5088127725491154,0.5093709809397149,-1.158916263954379,-0.9249159140079114,,1.4374339194780126,0.5499889251676415,1.987422844645654,0.0
coupled,48000,22,1,010aa30e51836eeb1d0b2f3c13fdad4d158ec9cd81af62b9fe181df4c7aef7c4,1.5757934544991925,0.2403451853714375,-0.9584154866650983,2.3942164545237192,0.0324448495135589,1.1322604813264523,0.1137215838649901,1.3344581336940298,1.1866994394705963,0.0535436061446512,1.1539734089084717,-0.9584154866650983,-1.1597462807850516,-1.3882490685868614,,2.340672848379068,0.0535436061446512,2.3942164545237192,0.0
coupled,48000,22,2,a4040649f24d949a9daac8111c269e4d1a5257c969fae12fa7c69d0df9dbb2a3,1.8236692508695864,0.0923038032512451,0.0704216380952722,1.6360816839879513,0.0994596814661539,1.5180339777074383,0.4196176501720416,0.4117464907467518,0.733330079342267,0.3393395457023715,0.5634120589433127,0.0704216380952722,-1.5177655632767582,-0.7321728738833202,,1.2967421382855797,0.3393395457023715,1.6360816839879513,0.0
coupled,48000,22,3,f554c10b3a6ea3aad3da67bdd8822e211e5b121bc19cccf58079def91c367dd6,1.738963037885108,0.2040865240041184,0.3559006322580469,1.2486530908196374,0.0785333899246542,0.7298553500286586,0.2858889452586715,0.3983010397814124,0.3605661144970369,0.0730449703017566,0.8150420060208439,0.3559006322580469,-0.9404471031080603,-0.3950648420360279,,1.1756081205178808,0.0730449703017566,1.2486530908196374,0.0
coupled,48000,22,4,efeb704908aab4b37f9eb437d7027df36470cc446a4008dae4aeb97dab9705a9,2.3187237315234843,0.1380191687813907,-1.3912871048505444,3.539986309632204,0.0877351396472896,1.8723351308135927,0.2197384948348613,1.6532359978804816,1.643812477086505,0.1571459319383139,1.7390279006073852,-1.3912871048505444,-1.947450279187314,-1.710124204694332,,3.3828403776938902,0.1571459319383139,3.539986309632204,0.0
coupled,48000,22,5,e026480bfdede18b0cad8aa9a8396507da1a7d4e1d8f8b035f580d6cf1dfb08c,2.671015448221061,0.2121444343980241,1.2473241257524066,1.3242418225277828,0.0699678639345692,0.0895746014831151,0.8686649784823315,0.4753285528372399,0.1676228664231469,0.247102981207961,0.9095159748966748,1.2473241257524066,-0.9098159911142792,-0.4537842777538381,,1.0771388413198217,0.247102981207961,1.3242418225277828,0.0
coupled,48000,22,6,aa52b477675f028f7f05585d6e76d7c1e052216fc5ff0c12d5b19191dbb9f848,1.9298161485865208,0.0094796636522601,0.0407595446337665,1.8531652169017887,0.0485955664438216,0.0,1.5525970003521667,0.298921280918806,4.440892098500626e-16,0.3622772510331871,1.4908879658686016,0.0407595446337665,-1.5048273769078566,-0.2980953379192944,,1.490887965868602,0.3622772510331871,1.8531652169017891,4.440892098500626e-16
coupled,48000,22,7,0193a206e04983fbfc2b0b7090a2206526ec6d42519b69d1a4291436c936eec5,2.358721318581143,0.2587406042010575,0.6715139944340844,1.5930450805191492,0.0756089602228898,0.0838380738641415,1.3067060319945634,0.2172308101057707,0.0085096813548721,0.2525171964644639,1.332018202699813,0.6715139944340844,-1.3361149944511126,-0.1960509612904731,,1.3405278840546853,0.2525171964644639,1.5930450805191492,0.0
coupled,48000,22,8,61d4cf29a73d0fbebcfd1d461184e2ae14c4900d005b36c4d18f6b61215564be,2.435612544719365,0.0242736391525094,-0.5201512266355417,2.746791687216405,0.1486799043935538,1.6161448116732815,0.5876777772151796,0.8453159404351163,1.274221900874482,0.5420932207117874,0.930476565630136,-0.5201512266355417,-1.6193764212426505,-1.2810822036873732,,2.204698466504618,0.5420932207117874,2.7467916872164055,4.440892098500626e-16
