condition,checkpoint,seed,phi_r_g,phi_r_z,phi_r_g_shuffled,group_decoupling_g,group_downward_g,group_part_driven_g,atom_base_part0_to_whole_g,atom_parts_to_whole_g,atom_part1_to_whole_g,atom_whole_to_part0_g,atom_whole_to_parts_g,atom_whole_to_part1_g,atom_whole_to_whole_g,atom_part0_to_part1_g,atom_part1_to_part0_g,whole_to_single_sum,whole_to_parts,downward_reconstructed
default,0,5,3.6395958539544626,0.0484434555588202,,-0.904194641265033,3.7774283813630607,0.19741412159723126,1.5513159436884199,1.3037041772194216,1.345036093280406,1.6968932052278265,0.7342957838638581,1.4521842639794447,-0.904194641265033,-1.7022756945314375,-1.9030309113037227,2.970979491040265,0.7342957838638581,3.7774283813630607
default,0,6,3.1652973009920102,0.029890557904791948,,-0.5748924120521384,3.71409697449625,0.18032078017054703,0.8880441350368438,1.6574601416900443,0.8842212722638205,0.7507763067073622,0.35646130044646673,2.2843349253828826,-0.5748924120521384,-2.546942952967521,-0.884080301818549,3.230096653382478,0.35646130044646673,3.71409697449625
default,0,7,2.818328193461009,0.02220933933708465,,-0.7156139121535037,3.8929353265169047,0.07731603512874624,1.4951429337102777,1.2653779637999152,1.2995667685515726,1.289846703460558,0.06351010011598295,2.1390261271590996,-0.7156139121535037,-2.5569471796325702,-1.7123034363343765,3.6991727232422003,0.06351010011598295,3.8929353265169047
default,0,8,3.0058773997545,0.016162870541039348,,-0.603462695187758,3.6122796182697874,0.07774731918734384,1.28752880272111,1.2334715043270001,1.0662730553921533,1.3545571468146878,0.4300724797495097,1.4695263371893117,-0.603462695187758,-1.9009538429490673,-1.7750449760410554,2.889085551318559,0.4300724797495097,3.6122796182697874
default,0,9,3.0292584391238746,0.028756607350593,,-0.3021752416904912,3.195992237804397,0.08909396370800446,1.1728169615938646,1.2011671315560737,1.1685876662530261,1.6338632019094503,0.06452426354637515,1.7882945134132795,-0.3021752416904912,-1.846673179422146,-2.112591282251731,3.14903129158596,0.06452426354637515,3.195992237804397
default,0,10,3.747590670860978,0.05501843156286525,,-1.5153690450103237,4.941720379941039,0.0988853534119008,1.9785815444981978,1.6344883474253147,1.8298570229802336,1.638425830554786,0.32637281958436937,3.001961899155745,-1.5153690450103237,-3.0624579837285237,-1.8297004565767758,4.757809888794393,0.32637281958436937,4.941720379941039
default,0,11,3.7064944599275833,0.0245925268655098,,-0.07595696920642585,3.8540912899164566,0.1492665410131317,0.8867741925240402,2.2864655006095362,0.7182590415143635,0.9120475546784458,0.7127199381209532,2.326853203483003,-0.07595696920642585,-2.354928766415086,-1.1971973009939398,2.7366146389838675,0.7127199381209532,3.854091289916457
default,0,12,3.7082034166513145,0.041483639305088,,-1.1164989810148205,4.566673472090239,0.06952351320820341,1.3722095260403326,1.2698307521823904,1.9218719584540225,1.5483865869654758,0.40068169319532854,2.38571004408833,-1.1164989810148205,-2.572617201705075,-2.209574746541313,3.9932619346275144,0.40068169319532854,4.566673472090239
default,0,13,3.853616086642607,0.027221239841538597,,-1.961641044439144,6.10658147444857,0.10799335733749266,2.3966776771759903,1.0056806107993113,2.7787227031243296,2.310679363969874,0.3059349814724215,3.2917241631156626,-1.961641044439144,-3.3450004644947375,-2.779595491437946,5.656874711411866,0.3059349814724215,6.10658147444857
default,0,14,2.807525865961906,0.03483846891730645,,-0.13118415214931956,2.868211299076668,0.047574998332528054,0.68351445905101,0.911029839821799,1.5202954557380899,0.6663755549324966,0.7344834186675084,1.745425143733264,-0.13118415214931956,-1.7637922803964399,-1.5194912367215503,2.3274268780808067,0.7344834186675084,2.868211299076668
default,0,15,3.362991681740098,0.01120372624410575,,-0.9701566081603379,4.204876059204343,0.11782027762745365,1.1765395501170635,1.8793008725997136,1.294886360193827,1.0075575708532365,0.4292760754875877,2.6313099904219537,-0.9701566081603379,-2.692404910802578,-1.2937109275582919,3.7884930192312773,0.4292760754875877,4.204876059204343
default,0,16,3.22587543064762,0.0173412118585133,,-1.3333977903116803,3.8024558535548465,0.1148554639198726,1.5938996752806964,1.5326452673030326,1.4944781392845314,1.7076071727349915,0.4769559813567088,1.8837571774200572,-1.3333977903116803,-1.8840747390078927,-1.8861713105655664,3.510953074065804,0.4769559813567088,3.8024558535548465
