seed,episode,rep,mean_empirical_rho,mean_surrogate_rho,mean_abs_rho_error,median_empirical_sd,median_surrogate_sd
1,9,0,0.9917264879757881,0.9855655393275747,0.00616094864821375,0.07368671479743963,0.07368671479743963
1,9,1,0.9917264879757881,0.9882405702794306,0.004129653563736513,0.07368671479743963,0.07368671479743963
1,9,2,0.9917264879757881,0.9825312741232494,0.009595089223390557,0.07368671479743963,0.07368671479743963
1,9,3,0.9917264879757881,0.9869298330040058,0.0055189135279888335,0.07368671479743963,0.07368671479743963
1,9,4,0.9917264879757881,0.9875973906053862,0.0047129594524879985,0.07368671479743963,0.07368671479743963
2,0,0,0.9901156606844256,0.9860744009150989,0.005453820985380599,0.08893453356995976,0.08893453356995977
2,0,1,0.9901156606844256,0.9846793664143796,0.005516413808910363,0.08893453356995976,0.08893453356995976
2,0,2,0.9901156606844256,0.9880194478697136,0.003810283831298037,0.08893453356995976,0.08893453356995977
2,0,3,0.9901156606844256,0.9864669577865349,0.0037011621285966967,0.08893453356995976,0.08893453356995977
2,0,4,0.9901156606844256,0.9855100159755844,0.005635552046514493,0.08893453356995976,0.08893453356995976
2,1,0,0.9843566208607409,0.9776973922530613,0.007485755634437892,0.08057751896032969,0.08057751896032969
2,1,1,0.9843566208607409,0.9775403811820434,0.006833910042399573,0.08057751896032969,0.08057751896032969
2,1,2,0.9843566208607409,0.9813223670391205,0.0059075273856354455,0.08057751896032969,0.08057751896032969
2,1,3,0.9843566208607409,0.9770553680809555,0.007322653494958059,0.08057751896032969,0.08057751896032969
2,1,4,0.9843566208607409,0.9771685254373729,0.007899810111311217,0.08057751896032969,0.08057751896032969
2,2,0,0.9922204498396204,0.9870518609044493,0.005525347226030412,0.10517373851301354,0.10517373851301354
